상품명,상품코드,합계,10-01  수,10-02  목,10-03  금,10-04  토,10-05  일,10-06  월,10-07  화,10-08  수,10-09  목,10-10  금,10-11  토,10-12  일,10-13  월,10-14  화,10-15  수,10-16  목,10-17  금,10-18  토,10-19  일,10-20  월,10-21  화,10-22  수,10-23  목,10-24  금,10-25  토,10-26  일,10-27  월,10-28  화,10-29  수,10-30  목,10-31  금,11-01  토,11-02  일,11-03  월,11-04  화,11-05  수,11-06  목,11-07  금,11-08  토,11-09  일,11-10  월,11-11  화,11-12  수,11-13  목,11-14  금,11-15  토,11-16  일,11-17  월,11-18  화,11-19  수,11-20  목,11-21  금,11-22  토,11-23  일,11-24  월,11-25  화,11-26  수,11-27  목,11-28  금,11-29  토,11-30  일,12-01  월,12-02  화,12-03  수,12-04  목,12-05  금,12-06  토,12-07  일,12-08  월,12-09  화,12-10  수,12-11  목,12-12  금,12-13  토,12-14  일,12-15  월,12-16  화,12-17  수,12-18  목,12-19  금,12-20  토,12-21  일,12-22  월,12-23  화,12-24  수,12-25  목,12-26  금,12-27  토,12-28  일,12-29  월,12-30  화,12-31  수,01-01  목,01-02  금,01-03  토,01-04  일,01-05  월,01-06  화,01-07  수,01-08  목,01-09  금,01-10  토,01-11  일,01-12  월,01-13  화,01-14  수,01-15  목,01-16  금,01-17  토,01-18  일,01-19  월,01-20  화,01-21  수,01-22  목,01-23  금,01-24  토,01-25  일,01-26  월,01-27  화,01-28  수,01-29  목,01-30  금,09-01  월,09-02  화,09-03  수,09-04  목,09-05  금,09-06  토,09-07  일,09-08  월,09-09  화,09-10  수,09-11  목,09-12  금,09-13  토,09-14  일,09-15  월,09-16  화,09-17  수,09-18  목,09-19  금,09-20  토,09-21  일,09-22  월,09-23  화,09-24  수,09-25  목,09-26  금,09-27  토,09-28  일,09-29  월,09-30  화
과즙폭발 꿀당도 보장 감귤 [유라실생],SMF28240458,16649 1551 (9.32%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),18  0  (0%),910  91  (10%),1168  123  (10.53%),1133  147  (12.97%),738  117  (15.85%),1059  133  (12.56%),1423  181  (12.72%),1766  206  (11.66%),1446  191  (13.21%),894  38  (4.25%),835  50  (5.99%),985  35  (3.55%),747  33  (4.42%),638  34  (5.33%),551  20  (3.63%),401  19  (4.74%),538  46  (8.55%),435  19  (4.37%),364  23  (6.32%),342  27  (7.89%),258  18  (6.98%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025 첫수확 노지감귤 가정용 3kg, 5kg",SMF87846210,12443 693 (5.57%),303  19  (6.27%),349  13  (3.72%),435  3  (0.69%),400  4  (1%),223  7  (3.14%),204  3  (1.47%),234  7  (2.99%),158  7  (4.43%),199  5  (2.51%),671  33  (4.92%),468  16  (3.42%),422  20  (4.74%),506  34  (6.72%),591  51  (8.63%),384  41  (10.68%),510  28  (5.49%),521  42  (8.06%),478  22  (4.6%),315  24  (7.62%),594  42  (7.07%),503  25  (4.97%),594  31  (5.22%),464  33  (7.11%),483  33  (6.83%),358  27  (7.54%),272  17  (6.25%),399  31  (7.77%),339  17  (5.01%),375  22  (5.87%),434  22  (5.07%),257  14  (5.45%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 황금향 선물세트 가정용,SMF29718566,6766 194 (2.87%),385  32  (8.31%),605  43  (7.11%),349  9  (2.58%),313  3  (0.96%),103  1  (0.97%),110  2  (1.82%),98  3  (3.06%),66  5  (7.58%),151  4  (2.65%),273  7  (2.56%),218  8  (3.67%),208  3  (1.44%),239  3  (1.26%),267  7  (2.62%),145  5  (3.45%),269  4  (1.49%),229  9  (3.93%),147  4  (2.72%),116  4  (3.45%),307  6  (1.95%),211  0  (0%),266  9  (3.38%),200  4  (2%),209  5  (2.39%),177  4  (2.26%),106  2  (1.89%),268  0  (0%),232  4  (1.72%),182  1  (0.55%),186  3  (1.61%),131  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 꿀당도 보장 고당도 감귤 2kg + 황금향 2kg,SMF97813435,4905 480 (9.79%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),300  36  (12%),860  75  (8.72%),568  54  (9.51%),339  36  (10.62%),715  58  (8.11%),392  30  (7.65%),331  35  (10.57%),313  36  (11.5%),204  21  (10.29%),222  32  (14.41%),156  21  (13.46%),144  11  (7.64%),142  15  (10.56%),101  9  (8.91%),65  5  (7.69%),53  6  (11.32%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사전예약 저농약 황금향 2.5kg+감귤 대과 2.5kg 추가증정,SMF21246352,2790 236 (8.46%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),14  0  (0%),305  15  (4.92%),757  45  (5.94%),779  66  (8.47%),517  60  (11.61%),418  50  (11.96%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초고당도 감귤 신품종[유라실생] 4.5kg(실중량4kg),SMF35967612,927 147 (15.86%),464  113  (24.35%),131  26  (19.85%),134  4  (2.99%),71  2  (2.82%),6  0  (0%),1  0  (0%),10  0  (0%),3  0  (0%),54  1  (1.85%),11  0  (0%),5  0  (0%),5  0  (0%),9  0  (0%),0  0  (0%),0  0  (0%),10  1  (10%),3  0  (0%),1  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"제주 산지직송 황금향 선물세트 가정용 2kg, 3kg, 5kg",SMF24654511,75 2 (2.67%),5  0  (0%),6  0  (0%),6  0  (0%),9  0  (0%),2  0  (0%),9  0  (0%),2  0  (0%),0  0  (0%),13  0  (0%),4  0  (0%),3  0  (0%),2  2  (100%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),3  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),4  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 카라향 가정용 3kg 5kg(소중대혼합),SMF60935750,65 0 (0%),3  0  (0%),0  0  (0%),10  0  (0%),4  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),3  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),4  0  (0%),3  0  (0%),4  0  (0%),2  0  (0%),2  0  (0%),4  0  (0%),2  0  (0%),2  0  (0%),0  0  (0%),4  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),3  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"★특가상품★ 제주도 산지직송 노지 황금향 4KG, 10KG",SMF44782434,58 0 (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),3  0  (0%),1  0  (0%),11  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),4  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),8  0  (0%),4  0  (0%),7  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"제주 산지직송 하우스감귤 2kg, 4kg, 4.5kg 소과 로얄과 중대과",SMF82923688,46 0 (0%),1  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),6  0  (0%),1  0  (0%),4  0  (0%),3  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),4  0  (0%),8  0  (0%),0  0  (0%),4  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),3  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 하우스감귤,SMF68590571,46 4 (8.7%),3  0  (0%),1  0  (0%),7  0  (0%),5  2  (40%),2  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),8  1  (12.5%),8  1  (12.5%),0  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),0  0  (0%),3  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 레드향 가정용 선물용 3kg 5kg,SMF96597185,43 0 (0%),0  0  (0%),0  0  (0%),8  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),6  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),18  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 한라봉 가정용 선물용 3kg 5kg,SMF55565905,43 0 (0%),0  0  (0%),0  0  (0%),8  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),6  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),19  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
