일자,DAU 전체(회원),신규 DAU 전체(회원),재방문자 수(일) 전체(회원),MAU 전체(회원),신규 MAU 전체(회원),PV,신규 DAU PV,재방문자 수(월),재방문율(월)
2025-10-31,486 (41),312 (1),174 (40),"15,062 (1,556)","14,192 (1,553)",1912,1062,2721,18.06%
2025-10-30,687 (47),462 (3),225 (44),"15,227 (1,555)","14,330 (1,554)",2334,1411,2775,18.22%
2025-10-29,790 (71),526 (2),264 (69),"15,625 (1,552)","14,824 (1,552)",2679,1488,2854,18.26%
2025-10-28,780 (89),452 (4),328 (85),"16,697 (1,550)","16,350 (1,550)",2732,1277,3126,18.72%
2025-10-27,725 (109),402 (0),323 (109),"16,469 (1,546)","16,163 (1,546)",2525,1043,3026,18.37%
2025-10-26,531 (74),344 (2),187 (72),"16,215 (1,547)","15,901 (1,546)",1606,850,2935,18.1%
2025-10-25,673 (115),450 (4),223 (111),"16,064 (1,545)","15,812 (1,545)",2180,1125,2909,18.1%
2025-10-24,693 (176),429 (31),264 (145),"15,701 (1,541)","15,459 (1,541)",2613,1213,2838,18.07%
2025-10-23,828 (256),511 (97),317 (159),"15,399 (1,511)","15,179 (1,511)",3272,1617,2754,17.88%
2025-10-22,997 (296),664 (133),333 (163),"14,948 (1,416)","14,740 (1,416)",4004,2194,2629,17.58%
2025-10-21,"1,006 (276)",646 (114),360 (162),"14,342 (1,283)","14,145 (1,283)",3670,1958,2482,17.3%
2025-10-20,"1,270 (296)",908 (146),362 (150),"13,756 (1,169)","13,565 (1,169)",3986,2363,2306,16.76%
2025-10-19,"1,036 (295)",821 (213),215 (82),"12,978 (1,024)","12,826 (1,024)",3779,2593,2119,16.32%
2025-10-18,"1,341 (388)","1,097 (320)",244 (68),"12,239 (811)","12,093 (811)",4986,3998,2002,16.35%
2025-10-17,"1,357 (348)","1,035 (305)",322 (43),"11,157 (491)","11,012 (491)",4785,3455,1839,16.48%
2025-10-16,834 (167),618 (166),216 (1),"10,142 (186)","10,001 (186)",3504,2709,1604,15.81%
2025-10-15,599 (2),408 (1),191 (1),"9,576 (20)","9,442 (20)",2178,1143,1506,15.72%
2025-10-14,817 (4),627 (3),190 (1),"9,179 (19)","9,050 (19)",3375,2231,1419,15.45%
2025-10-13,819 (3),571 (0),248 (3),"8,562 (16)","8,434 (16)",2832,1413,1348,15.74%
2025-10-12,625 (1),442 (0),183 (1),"8,029 (16)","7,903 (16)",2240,1251,1249,15.55%
2025-10-11,317 (1),191 (0),126 (1),"7,619 (16)","7,498 (16)",1065,505,1184,15.54%
2025-10-10,374 (1),293 (0),81 (1),"7,450 (16)","7,335 (16)",1399,1046,1132,15.19%
2025-10-09,180 (3),123 (2),57 (1),"7,178 (16)","7,067 (16)",627,422,1103,15.36%
2025-10-08,94 (1),42 (1),52 (0),"7,074 (14)","6,961 (14)",404,225,1084,15.32%
2025-10-07,207 (0),146 (0),61 (0),"7,050 (13)","6,937 (13)",497,277,1062,15.06%
2025-10-06,192 (2),143 (1),49 (1),"6,945 (13)","6,832 (13)",436,270,1045,15.04%
2025-10-05,206 (0),148 (0),58 (0),"6,861 (12)","6,749 (12)",414,259,1022,14.89%
2025-10-04,292 (1),195 (1),97 (0),"6,762 (12)","6,654 (12)",1146,742,1007,14.89%
2025-10-03,424 (2),326 (1),98 (1),"6,615 (11)","6,513 (11)",1246,944,949,14.34%
2025-10-02,591 (2),411 (1),180 (1),"6,352 (10)","6,279 (10)",1732,1073,919,14.46%
2025-10-01,719 (4),449 (1),270 (3),"6,058 (9)","6,023 (9)",2332,1152,845,13.94%
2025-11-30,414 (16),284 (0),130 (16),"8,801 (253)","7,765 (58)",1016,538,1605,18.23%
2025-11-29,434 (21),281 (2),153 (19),"8,992 (267)","7,943 (61)",988,526,1637,18.2%
2025-11-28,431 (18),243 (1),188 (17),"9,237 (289)","8,188 (61)",1403,688,1692,18.31%
2025-11-27,257 (13),145 (2),112 (11),"9,504 (317)","8,397 (64)",794,420,1719,18.08%
2025-11-26,414 (8),305 (0),109 (8),"9,809 (346)","8,654 (62)",1109,663,1786,18.2%
2025-11-25,512 (52),399 (28),113 (24),"9,867 (374)","8,693 (64)",1300,842,1816,18.4%
2025-11-24,291 (9),193 (0),98 (9),"9,951 (404)","8,744 (40)",816,436,1857,18.66%
